nome,idade,sexo,cpf,cidade,estado,pais,profissao
João Silva,35,Masculino,123.456.789-00,São Paulo,SP,Brasil,Engenheiro
Maria Santos,28,Feminino,987.654.321-00,Rio de Janeiro,RJ,Brasil,Médica
Pedro Costa,42,Masculino,456.789.123-00,Porto,Porto,Portugal,Professor
Ana Ferreira,31,Feminino,789.123.456-00,Lisboa,Lisboa,Portugal,Advogada
Carlos Rodriguez,45,Masculino,654.321.987-00,Barcelona,Catalunha,Espanha,Arquiteto
Elena Gomez,29,Feminino,321.654.987-00,Madrid,Madrid,Espanha,Contadora
John Smith,38,Masculino,135.792.468-00,New York,NY,EUA,Desenvolvedor
Emily Johnson,27,Feminino,579.246.813-00,Los Angeles,CA,EUA,Enfermeira
José Santos,40,Masculino,369.852.147-00,Salvador,BA,Brasil,Engenheiro Civil
Ana Oliveira,33,Feminino,258.147.369-00,Brasília,DF,Brasil,Professora
Ricardo Pereira,49,Masculino,147.369.852-00,Porto Alegre,RS,Brasil,Médico
Laura Rodrigues,26,Feminino,789.321.654-00,Coimbra,Coimbra,Portugal,Arquiteta
Paulo Almeida,37,Masculino,456.789.321-00,Guimarães,Braga,Portugal,Contador
Mariana Silva,30,Feminino,963.852.741-00,Faro,Faro,Portugal,Engenheira Eletricista
